views,likes,dislikes,comment_count
462672,16668,455,4868
54885,545,37,295
198777,1784,163,523
595349,2282,154,1014
1700973,89139,1693,2670
1700053,122584,1719,16112
1923738,35159,843,5336
716925,24506,172,3300
51960,32,9,8
609245,2323,114,974
670962,32068,1653,4169
5620985,550029,10437,35849
318147,1826,1164,1052
1233850,80295,2947,5496
165942,4409,83,447
604008,29409,366,7603
4251667,14290,375,2600
743069,4784,2105,4403
3098960,62490,2582,5730
155495,2101,158,282
204640,1462,223,969
169329,92,32,93
375889,8901,1277,1439
367147,1164,134,1262
559365,14893,172,350
1647994,99766,2655,9056
231491,13573,181,4083
2029829,9322,764,2385
218737,7709,131,1127
423355,1578,284,748
1577521,15755,694,1892
632914,41800,271,7342
672764,22325,517,1956
29113,446,18,249
222243,6534,175,1286
193629,7423,154,1375
354749,15633,412,4446
10516,389,7,27
313377,2728,186,441
274026,6213,62,324
291062,2083,67,1705
337492,12861,272,9741
153646,13438,51,1808
99723,1664,205,542
2797467,148525,1585,4662
726328,30812,276,2089
212112,5245,696,1314
